Transaction Date and Time,Transaction Amount,Cardholder Name,Merchant Name,Transaction Source,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,Previous Transactions,IP Address,Device Information,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,outlier_flag
16-06-2021,923.31,Nehmat Ram,Seshadri LLC,In-Person,2954.0,Jehanabad,INR,MasterCard,01-01-2027,1,51.233.242.210,Mobile,,,,,,,,0
22-08-2022,2613.96,Zeeshan Barad,Ramanathan-Bera,Online,7166.0,Hyderabad,INR,American Express,01-02-2025,2,149.190.124.245,Tablet,,,,,,,,0
21-02-2020,4525.17,Kashvi Kothari,Jha-Maharaj,Online,9106.0,Madanapalle,USD,American Express,01-08-2030,2,115.64.177.18,Desktop,,,,,,,,0
19-04-2020,4469.12,Divij Kaur,Baral-Zachariah,Online,2539.0,Indore,INR,MasterCard,01-06-2029,3 or more,178.107.59.132,Mobile,,,,,,,,0
03-10-2020,380.84,Nitara Tank,Jain PLC,Online,8801.0,Mahbubnagar,USD,MasterCard,01-10-2026,1,145.231.220.252,Mobile,,,,,,,,0
08-06-2022,1052.74,Kaira Borah,Bedi-Bhat,In-Person,1777.0,Muzaffarnagar,EUR,American Express,01-01-2031,,145.82.32.245,Mobile,,,,,,,,0
14-12-2021,3633.43,Farhan Bahri,Sodhi-Agrawal,Online,8190.0,Malda,EUR,American Express,01-04-2031,3 or more,135.210.99.44,Tablet,,,,,,,,0
26-03-2020,120.89,Chirag Kashyap,Iyengar-Garde,Online,1946.0,Secunderabad,EUR,American Express,01-05-2029,,211.132.170.84,Mobile,,,,,,,,0
29-05-2023,869.66,Krish Rana,Batra and Sons,In-Person,1455.0,Jalgaon,EUR,MasterCard,01-11-2026,1,32.56.166.242,Mobile,,,,,,,,0
31-03-2022,846.89,Vidur Agate,Thakur-Trivedi,In-Person,3102.0,Bongaigaon,USD,American Express,01-06-2025,3 or more,148.210.254.107,Mobile,,,,,,,,0
27-12-2022,4432.28,Zain Chopra,"Divan, Cheema and Dugar",In-Person,1880.0,Jehanabad,INR,Visa,01-10-2024,,135.165.132.148,Desktop,,,,,,,,0
01-06-2020,4801.36,Vihaan Randhawa,Soman LLC,Online,2558.0,Jalna,EUR,Visa,01-10-2031,,195.242.42.170,Mobile,,,,,,,,0
11-12-2022,441.26,Hiran Sem,Jayaraman-Butala,Online,2091.0,Gopalpur,EUR,MasterCard,01-06-2032,3 or more,54.64.160.180,Mobile,,,,,,,,0
25-09-2020,1021.92,Lavanya Aggarwal,"Reddy, Ghose and Deshmukh",Online,6541.0,Vellore,USD,Visa,01-08-2030,3 or more,64.151.248.176,Mobile,,,,,,,,0
21-01-2021,2074.03,Vihaan Bhasin,Varghese Inc,In-Person,2280.0,Sirsa,USD,Visa,01-08-2030,3 or more,181.245.131.237,Tablet,,,,,,,,0
23-01-2023,1352.51,Madhup Sundaram,Sridhar Inc,Online,7971.0,Latur,INR,Visa,01-05-2031,3 or more,57.92.206.46,Tablet,,,,,,,,0
11-03-2021,87.11,Anika Gill,Basu and Sons,Online,7587.0,Begusarai,INR,American Express,01-01-2028,,223.67.83.190,Mobile,,,,,,,,0
22-02-2022,268.18,Dhruv Barman,Vasa-Agate,Online,6762.0,Vadodara,USD,American Express,01-10-2029,3 or more,196.88.75.231,Tablet,,,,,,,,0
23-02-2020,2058.95,Khushi Warrior,Ratti-Bhatti,In-Person,3507.0,Faridabad,INR,Visa,01-06-2033,2,197.172.101.248,Mobile,,,,,,,,0
15-02-2023,3436.84,Dhanush Sinha,"Bassi, Bora and Master",Online,9592.0,Jabalpur,EUR,American Express,01-08-2033,,30.121.64.161,Desktop,,,,,,,,0
12-03-2023,531.41,Aayush Lala,Issac-Sane,In-Person,8084.0,Fatehpur,EUR,MasterCard,01-08-2028,3 or more,215.92.45.32,Tablet,,,,,,,,0
21-07-2021,350.56,Sana Bajaj,"Deshpande, Sachdeva and Master",In-Person,1378.0,Saharsa,EUR,MasterCard,01-01-2028,1,161.88.65.42,Mobile,,,,,,,,0
04-07-2020,1594.56,Parinaaz Dube,Sankar-Soni,Online,3271.0,Bahraich,USD,MasterCard,01-03-2028,1,213.44.188.40,Desktop,,,,,,,,0
22-07-2020,1842.12,Hrishita Soni,Mammen-Chokshi,Online,7267.0,Panvel,EUR,Visa,01-05-2031,,73.180.20.59,Tablet,,,,,,,,0
13-09-2020,230.1,Mahika Chowdhury,Mand Ltd,In-Person,7258.0,Ichalkaranji,INR,American Express,01-06-2025,1,113.18.102.128,Mobile,,,,,,,,0
02-01-2023,3752.75,Siya Ramakrishnan,Gopal-Yadav,In-Person,5382.0,Anantapuram,INR,American Express,01-05-2031,1,211.153.251.153,Tablet,,,,,,,,0
08-08-2022,1043.52,Dharmajan Garg,Ray and Sons,Online,4931.0,Mangalore,EUR,American Express,01-01-2033,3 or more,11.117.50.122,Mobile,,,,,,,,0
03-10-2021,454.21,Raghav Dua,Tailor LLC,Online,8373.0,South Dumdum,EUR,Visa,01-02-2032,1,200.195.101.4,Mobile,,,,,,,,0
18-04-2021,916.68,Neelofar Mangal,Sane-Seshadri,In-Person,9420.0,Farrukhabad,EUR,Visa,01-08-2027,3 or more,195.181.10.190,Tablet,,,,,,,,0
07-03-2021,2873.36,Zain Dugal,"Ratta, Bakshi and Uppal",In-Person,9303.0,Bangalore,INR,American Express,01-08-2033,1,1.213.234.182,Mobile,,,,,,,,0
08-01-2020,3583.7,Nitara Arora,Chakraborty Group,In-Person,6935.0,Tinsukia,INR,Visa,01-12-2023,3 or more,32.214.132.22,Tablet,,,,,,,,0
09-03-2023,4058.43,Aarna Wadhwa,Dara Inc,In-Person,7695.0,Bareilly,USD,American Express,01-03-2029,,18.64.162.173,Desktop,,,,,,,,0
18-05-2022,506.34,Shayak Swaminathan,"Srinivas, Thakur and Swaminathan",In-Person,3729.0,Allahabad,INR,MasterCard,01-12-2024,1,143.100.38.16,Mobile,,,,,,,,0
15-02-2020,4993.49,Ranbir Uppal,"Raja, Bhat and Chander",Online,5307.0,Barasat,EUR,Visa,01-05-2026,,176.60.44.187,Mobile,,,,,,,,0
29-08-2021,2640.91,Vivaan Thaman,Goyal-Arya,Online,5000.0,Bahraich,USD,Visa,01-04-2026,,165.251.3.104,Mobile,,,,,,,,0
14-06-2021,2811.24,Ryan Kumer,Dube Ltd,In-Person,8161.0,Kharagpur,INR,Visa,01-09-2030,3 or more,31.29.185.164,Tablet,,,,,,,,0
30-12-2020,1869.35,Samiha Balay,"Tiwari, Mall and Rattan",In-Person,9545.0,Tirupati,INR,Visa,01-01-2033,,117.50.126.113,Tablet,,,,,,,,0
13-10-2020,194.52,Jiya Dube,Kalita Inc,In-Person,6816.0,Amravati,INR,Visa,01-08-2031,3 or more,206.41.3.109,Mobile,,,,,,,,0
14-08-2020,2641.12,Nayantara Grewal,"Bhakta, Ganguly and Raju",In-Person,3533.0,Ambattur,USD,Visa,01-05-2028,2,132.87.168.71,Mobile,,,,,,,,0
16-11-2022,2880.76,Rania Batta,Bajwa Inc,Online,5238.0,Sasaram,INR,MasterCard,01-06-2025,,26.85.58.234,Tablet,,,,,,,,0
14-11-2022,3464.75,Dharmajan Dash,Grewal PLC,Online,8953.0,Raiganj,EUR,Visa,01-11-2027,1,197.62.143.115,Tablet,,,,,,,,0
16-04-2022,4102.82,Armaan Dar,"Kumer, Roy and Dutt",In-Person,8007.0,Chapra,USD,American Express,01-08-2026,,211.94.41.11,Mobile,,,,,,,,0
25-06-2023,4875.85,Amira Uppal,"Dugar, Kari and Dar",Online,5347.0,Karaikudi,USD,Visa,01-04-2032,3 or more,217.201.60.20,Tablet,,,,,,,,0
05-06-2021,4788.09,Zeeshan Lalla,Chad Inc,In-Person,6641.0,Ranchi,USD,Visa,01-10-2029,2,181.172.135.146,Tablet,,,,,,,,0
22-12-2021,3407.84,Alisha Ravel,Kuruvilla PLC,Online,1899.0,Navi Mumbai,USD,MasterCard,01-02-2031,2,208.180.11.76,Tablet,,,,,,,,0
25-10-2022,300.66,Tiya Samra,"Anand, Raval and Ahluwalia",In-Person,1240.0,Tiruvottiyur,EUR,American Express,01-11-2024,3 or more,6.133.169.210,Tablet,,,,,,,,0
24-04-2023,1081.58,Zaina Kothari,Chana Group,In-Person,6113.0,Ahmedabad,INR,Visa,01-07-2024,,196.91.77.68,Tablet,,,,,,,,0
10-01-2023,3254.81,Tanya Sachdeva,Yogi-Swaminathan,In-Person,3058.0,Patiala,EUR,Visa,01-01-2025,,197.42.147.154,Tablet,,,,,,,,0
01-01-2023,1755.95,Akarsh Chaudry,Sagar-Kota,Online,3385.0,Mysore,INR,Visa,01-10-2031,,220.173.39.150,Mobile,,,,,,,,0
25-03-2023,1456.46,Lagan Bali,Balakrishnan Inc,In-Person,4097.0,Kollam,INR,MasterCard,01-07-2025,1,195.206.181.180,Mobile,,,,,,,,0
02-08-2022,1385.76,Yasmin Kumar,Kaur and Sons,In-Person,3865.0,Bijapur,EUR,MasterCard,01-01-2027,3 or more,143.239.87.110,Mobile,,,,,,,,0
21-11-2021,3594.84,Kavya Bhatti,Vaidya LLC,In-Person,5109.0,Gandhidham,USD,Visa,01-05-2025,2,186.199.78.49,Desktop,,,,,,,,0
10-02-2022,3155.88,Jivika Rattan,"Setty, Karpe and Vig",In-Person,6765.0,Dharmavaram,EUR,American Express,01-05-2032,2,217.247.78.161,Tablet,,,,,,,,0
08-06-2022,164.07,Mishti Mann,Lad and Sons,In-Person,3446.0,Bathinda,USD,Visa,01-08-2026,2,196.238.139.57,Desktop,,,,,,,,0
22-10-2021,4165.48,Samar Borah,Trivedi Ltd,In-Person,3044.0,Lucknow,EUR,MasterCard,01-11-2032,2,129.152.88.127,Tablet,,,,,,,,0
22-04-2023,2823.91,Misha Dube,Kant Inc,In-Person,9857.0,Pune,EUR,MasterCard,01-08-2029,3 or more,209.25.67.126,Mobile,,,,,,,,0
23-01-2022,1338.86,Anya Sur,Rama-Sawhney,In-Person,8926.0,Ongole,INR,MasterCard,01-12-2024,3 or more,152.253.205.41,Mobile,,,,,,,,0
10-07-2023,3721.86,Nirvaan Baral,"Balakrishnan, Kohli and Kata",In-Person,8844.0,Anantapur,INR,Visa,01-11-2027,1,187.146.16.208,Tablet,,,,,,,,0
30-10-2022,4146.54,Suhana Thaker,Golla Ltd,In-Person,8041.0,Bareilly,USD,American Express,01-11-2027,3 or more,87.218.105.217,Mobile,,,,,,,,0
31-03-2023,2515.53,Kartik Gara,Shenoy PLC,Online,2703.0,Tezpur,EUR,MasterCard,01-06-2026,,202.50.26.224,Mobile,,,,,,,,0
02-08-2022,4088.07,Onkar Dhingra,"Sem, Bhatia and Kala",In-Person,2206.0,Muzaffarpur,USD,American Express,01-08-2029,,220.44.41.155,Mobile,,,,,,,,0
04-08-2023,113.91,Kanav Sood,Goyal Group,In-Person,6622.0,Noida,INR,MasterCard,01-11-2032,3 or more,128.184.147.95,Mobile,,,,,,,,0
20-01-2022,3663.65,Mahika Sangha,Ray-Tak,Online,3755.0,Sambalpur,USD,Visa,01-08-2029,2,213.97.170.147,Tablet,,,,,,,,0
24-01-2020,482.29,Vardaniya Dhar,Kibe-Golla,Online,4739.0,Tumkur,USD,Visa,01-06-2027,,1.48.193.249,Desktop,,,,,,,,0
26-07-2021,1310.13,Yuvaan Sur,Majumdar-Yogi,Online,8680.0,Bangalore,EUR,American Express,01-01-2025,2,129.245.249.114,Desktop,,,,,,,,0
08-04-2020,2303.18,Biju Tara,Sanghvi Ltd,In-Person,7096.0,Anand,EUR,MasterCard,01-03-2029,2,137.115.250.66,Mobile,,,,,,,,0
04-02-2021,3414.18,Sahil Biswas,"Gola, Amble and Choudhary",Online,2057.0,Tiruvottiyur,EUR,American Express,01-02-2028,3 or more,136.62.185.133,Desktop,,,,,,,,0
12-03-2023,959.45,Sahil Kapur,Date PLC,In-Person,1272.0,Jammu,INR,American Express,01-05-2027,3 or more,133.97.196.119,Tablet,,,,,,,,0
07-04-2020,4484.69,Nayantara Agarwal,D’Alia-Dhingra,Online,6957.0,Thanjavur,EUR,Visa,01-04-2032,1,154.82.125.54,Tablet,,,,,,,,0
27-08-2023,459.39,Riya Dhaliwal,Borah Ltd,Online,4103.0,Miryalaguda,INR,MasterCard,01-04-2027,3 or more,76.148.26.249,Tablet,,,,,,,,0
06-06-2023,405.03,Oorja Rattan,"Vohra, Rajagopalan and Dewan",Online,3852.0,Thrissur,EUR,MasterCard,01-07-2025,3 or more,80.82.129.63,Mobile,,,,,,,,0
09-05-2020,4549.77,Divyansh Lad,"Shanker, Chopra and Kata",Online,3582.0,Karimnagar,INR,American Express,01-12-2025,,78.51.4.46,Desktop,,,,,,,,0
12-07-2021,2104.79,Divij Yadav,"Bhandari, Ramakrishnan and Dora",Online,1988.0,Akola,USD,MasterCard,01-12-2027,,73.226.99.156,Mobile,,,,,,,,0
27-06-2020,1758.14,Pari Rout,Jain and Sons,In-Person,2818.0,Pondicherry,INR,MasterCard,01-07-2033,1,122.55.181.109,Mobile,,,,,,,,0
20-05-2020,2861.4,Dhanush Cheema,"Bala, Korpal and Cheema",Online,4422.0,Nanded,USD,American Express,01-09-2032,3 or more,119.123.84.226,Desktop,,,,,,,,0
10-08-2023,4259.91,Hridaan Mand,Badami-Sekhon,Online,1826.0,Karawal Nagar,EUR,MasterCard,01-05-2028,3 or more,97.201.210.146,Desktop,,,,,,,,0
13-08-2023,4954.71,Tejas Randhawa,Mani-Mand,Online,1739.0,Pudukkottai,INR,MasterCard,01-09-2033,3 or more,160.41.60.6,Tablet,,,,,,,,0
16-06-2021,770.14,Ivan Krishnamurthy,"Ramachandran, Keer and Chandran",Online,3020.0,Satna,EUR,Visa,01-02-2031,,123.125.145.242,Desktop,,,,,,,,0
26-04-2023,374.72,Zain Raju,"Rege, Buch and Gandhi",In-Person,6644.0,Chittoor,INR,MasterCard,01-11-2029,2,223.95.79.116,Mobile,,,,,,,,0
07-02-2021,3105.95,Sahil Babu,Kade-Balay,In-Person,7323.0,Agartala,INR,MasterCard,01-11-2030,,147.165.5.239,Tablet,,,,,,,,0
04-01-2023,4565.66,Anahita Ganguly,"Bhargava, Sahota and Dave",In-Person,2452.0,Secunderabad,INR,American Express,01-04-2029,1,184.71.121.56,Tablet,,,,,,,,0
22-10-2022,1230.56,Ira Srivastava,Saraf-Balay,Online,1625.0,Jalna,INR,American Express,01-02-2024,3 or more,150.137.222.151,Desktop,,,,,,,,0
15-12-2022,2660.6,Adah Shan,Saxena and Sons,In-Person,4007.0,Jamshedpur,EUR,MasterCard,01-03-2032,1,206.180.186.85,Tablet,,,,,,,,0
25-01-2022,2050.24,Vardaniya Gill,Gera PLC,Online,4823.0,Dewas,USD,Visa,01-05-2031,2,194.72.205.18,Mobile,,,,,,,,0
26-06-2023,780.15,Vihaan Venkatesh,Comar Group,Online,7820.0,Dehradun,INR,Visa,01-02-2024,2,206.40.9.94,Desktop,,,,,,,,0
22-09-2023,4650.63,Rasha Babu,"Thakur, Mahal and Wagle",Online,4597.0,Dehri,EUR,Visa,01-02-2024,2,194.170.121.152,Desktop,,,,,,,,0
06-02-2020,4288.98,Shaan Mammen,"Sengupta, Mane and Chhabra",Online,4861.0,Siwan,EUR,American Express,01-01-2028,,146.139.67.30,Tablet,,,,,,,,0
27-08-2022,2500.59,Yakshit Rattan,Sathe-Bala,Online,5608.0,Ludhiana,INR,American Express,01-06-2033,1,129.14.31.93,Tablet,,,,,,,,0
04-06-2021,4697.86,Dishani Ray,Dar Group,In-Person,3586.0,Hindupur,USD,Visa,01-08-2028,3 or more,222.109.15.57,Tablet,,,,,,,,0
11-08-2022,57.79,Zeeshan Chaudhry,Dube Inc,Online,5247.0,Ahmedabad,EUR,American Express,01-12-2026,3 or more,198.26.194.219,Mobile,,,,,,,,0
12-10-2020,2361.35,Ela Bhandari,Biswas-Lalla,In-Person,1898.0,Jammu,USD,MasterCard,01-01-2025,2,80.170.238.244,Desktop,,,,,,,,0
26-10-2020,4036.39,Faiyaz Iyengar,"Brar, Wagle and Saini",Online,1407.0,Bhalswa Jahangir Pur,EUR,Visa,01-06-2026,2,200.200.219.251,Tablet,,,,,,,,0
07-06-2021,3559.53,Sara Borra,"Singh, Malhotra and Acharya",Online,7235.0,Bareilly,USD,Visa,01-10-2033,,209.171.26.169,Mobile,,,,,,,,0
05-09-2020,4946.62,Pari Gole,Magar Group,In-Person,3263.0,Bathinda,EUR,Visa,01-02-2032,1,206.1.127.88,Desktop,,,,,,,,0
24-04-2023,4396.24,Aniruddh Bala,Korpal LLC,Online,5169.0,Medininagar,USD,Visa,01-01-2032,2,208.91.142.59,Mobile,,,,,,,,0
19-08-2020,1579.23,Rohan Gaba,"Virk, Wason and Dixit",Online,5207.0,Tirupati,USD,Visa,01-01-2031,,200.219.19.137,Desktop,,,,,,,,0
05-10-2021,1401.82,Indrans Chahal,Virk Group,In-Person,1524.0,Khammam,INR,MasterCard,01-05-2028,,168.254.79.18,Mobile,,,,,,,,0
11-11-2022,3442.08,Samarth De,Sabharwal-Varughese,In-Person,3743.0,Darbhanga,EUR,Visa,01-08-2031,2,130.48.49.34,Tablet,,,,,,,,0
05-07-2023,2222.49,Khushi Dora,Balasubramanian Ltd,Online,4908.0,Agra,USD,MasterCard,01-12-2025,,72.87.208.7,Mobile,,,,,,,,0
07-03-2023,3421.9,Chirag Lala,Keer-Chacko,Online,5264.0,Serampore,USD,Visa,01-04-2025,3 or more,78.235.79.76,Mobile,,,,,,,,0
13-01-2023,4228.11,Arnav Borra,Dube-Garg,In-Person,6862.0,Ghaziabad,USD,Visa,01-02-2032,,23.155.242.32,Tablet,,,,,,,,0
21-07-2023,3906.68,Jayant Madan,"Dara, Sampath and Buch",Online,4874.0,Aurangabad,INR,Visa,01-09-2030,1,185.190.141.210,Mobile,,,,,,,,0
26-12-2021,923.72,Mishti Venkatesh,"Bera, Chaudhari and Dash",Online,9751.0,Srinagar,INR,MasterCard,01-05-2033,1,15.7.111.168,Tablet,,,,,,,,0
13-08-2023,4196.15,Madhup Ramaswamy,Jain PLC,Online,7809.0,Khammam,EUR,MasterCard,01-09-2033,3 or more,196.196.181.132,Mobile,,,,,,,,0
07-04-2022,3027.63,Dhruv Wadhwa,Anne Inc,In-Person,7303.0,Anantapuram,EUR,American Express,01-05-2030,1,67.31.65.119,Desktop,,,,,,,,0
30-03-2021,2876.61,Samarth Bose,Lad LLC,Online,5231.0,Faridabad,EUR,American Express,01-11-2028,2,50.13.97.42,Tablet,,,,,,,,0
19-04-2020,134.22,Aradhya Hora,Sunder-Kota,Online,5315.0,Mahbubnagar,USD,American Express,01-12-2026,3 or more,216.82.98.115,Desktop,,,,,,,,0
01-03-2021,4894.87,Devansh Kannan,Sane Ltd,In-Person,3905.0,Sambhal,USD,MasterCard,01-03-2024,2,168.134.203.58,Mobile,,,,,,,,0
07-03-2023,2349.24,Dhanush Kaur,Deshpande-Sule,In-Person,7505.0,Thiruvananthapuram,INR,Visa,01-10-2029,3 or more,181.142.137.31,Tablet,,,,,,,,0
31-10-2020,3416.2,Nayantara Gill,"Sarkar, Contractor and Sankar",Online,5216.0,Durgapur,INR,MasterCard,01-03-2033,2,62.218.201.117,Desktop,,,,,,,,0
23-01-2021,4666.44,Jivika Sarma,Johal-Viswanathan,In-Person,1064.0,Firozabad,INR,American Express,01-04-2033,1,38.177.36.154,Mobile,,,,,,,,0
23-07-2021,1312.95,Hazel Sani,Bhatt-Sathe,In-Person,8978.0,Chinsurah,USD,MasterCard,01-03-2030,,222.117.237.161,Desktop,,,,,,,,0
22-05-2020,2407.15,Jiya Bedi,Chakrabarti and Sons,In-Person,5097.0,Saharsa,USD,American Express,01-02-2032,3 or more,202.188.148.164,Desktop,,,,,,,,0
20-07-2021,3773.92,Piya D’Alia,Rama Inc,In-Person,2886.0,Udaipur,EUR,MasterCard,01-09-2030,3 or more,212.214.72.49,Desktop,,,,,,,,0
30-03-2020,4100.48,Vivaan Vig,"Saraf, Karan and Ramaswamy",In-Person,1932.0,Ahmednagar,INR,American Express,01-05-2029,2,182.54.199.134,Tablet,,,,,,,,0
26-10-2021,4185.67,Kiara Gupta,Sethi PLC,In-Person,6379.0,Meerut,USD,American Express,01-05-2029,3 or more,200.185.30.205,Tablet,,,,,,,,0
20-02-2020,4616.75,Onkar Som,Kannan-Bhagat,Online,6331.0,Panipat,USD,American Express,01-08-2030,1,77.149.124.23,Desktop,,,,,,,,0
16-09-2023,1447.42,Tushar Divan,"Malhotra, Randhawa and Sandhu",In-Person,6945.0,Madurai,EUR,American Express,01-08-2032,3 or more,219.233.214.215,Desktop,,,,,,,,0
10-03-2020,2804.38,Ayesha Ratti,Kunda-Samra,In-Person,2008.0,Chandigarh,USD,Visa,01-07-2027,2,34.88.220.60,Mobile,,,,,,,,0
17-09-2022,1318.95,Darshit Dara,"Chaudhuri, Srinivas and Khare",In-Person,9206.0,Solapur,EUR,American Express,01-05-2025,3 or more,137.149.16.106,Desktop,,,,,,,,0
25-10-2022,3994.91,Madhav Dey,Mani Ltd,Online,5379.0,Nangloi Jat,USD,MasterCard,01-06-2024,2,203.240.240.201,Tablet,,,,,,,,0
30-11-2022,4872.77,Inaaya  Tandon,"Devi, Sastry and Wable",In-Person,9460.0,Haridwar,USD,Visa,01-02-2032,,193.68.238.123,Desktop,,,,,,,,0
04-08-2020,3814.73,Misha Butala,Swaminathan-Grewal,In-Person,7854.0,Kolhapur,INR,MasterCard,01-10-2023,2,57.183.235.211,Mobile,,,,,,,,0
17-02-2022,1744.56,Miraya Ramaswamy,Lall-Date,Online,2316.0,Morena,INR,American Express,01-03-2026,1,154.230.26.196,Tablet,,,,,,,,0
18-04-2020,4284.39,Rasha Venkataraman,Wagle LLC,In-Person,3707.0,Karimnagar,USD,MasterCard,01-09-2030,3 or more,183.219.209.123,Desktop,,,,,,,,0
20-08-2020,4930.57,Miraan Uppal,Shere PLC,In-Person,8748.0,Sri Ganganagar,EUR,Visa,01-10-2028,2,41.80.235.181,Desktop,,,,,,,,0
